X_Final,Y_Final
10.5,20.3
12.1,19.8
11.2,21.5
13.8,20.1
10.9,22.4
85.3,85.6
87.2,84.9
86.1,86.8
88.4,85.2
84.7,87.1
-40.2,-50.5
-38.9,-49.1
-41.5,-51.3
-39.4,-48.8
-42.1,-50.9
50.6,5.2
52.3,4.8
51.1,6.4
53.7,5.9
49.8,5.5
-80.1,10.3
-78.5,11.9
-79.3,9.1
-81.2,10.8
-77.9,12.5
25.4,-75.2
27.1,-74.1
26.2,-76.8
28.5,-75.9
24.3,-73.5
-15.6,65.2
-14.1,63.8
-16.9,66.1
-13.2,64.5
-17.3,67.2
60.8,-25.3
62.5,-24.1
59.2,-26.9
63.9,-25.8
58.1,-23.5
-50.3,-10.4
-48.7,-9.2
-51.6,-11.8
-49.5,-8.1
-52.1,-12.5
35.2,45.8
37.1,44.2
34.5,47.1
38.3,46.5
33.1,43.9
-25.7,30.1
-24.2,28.6
-27.1,31.5
-23.8,29.3
-28.3,32.1
